t,q,fisher,lineal,rbf
0.1,1.0,0.475,0.575,0.525
0.1,1.2,0.475,0.575,0.525
0.1,1.5,0.475,0.575,0.525
0.1,1.7,0.475,0.575,0.525
0.1,2.0,0.475,0.575,0.525
0.1,2.5,0.475,0.575,0.525
0.1,2.8,0.475,0.575,0.525
0.5,1.0,0.625,0.575,0.525
0.5,1.2,0.65,0.575,0.525
0.5,1.5,0.625,0.575,0.525
0.5,1.7,0.525,0.575,0.525
0.5,2.0,0.525,0.575,0.525
0.5,2.5,0.525,0.575,0.525
0.5,2.8,0.65,0.575,0.525
0.6,1.0,0.625,0.575,0.525
0.6,1.2,0.675,0.575,0.525
0.6,1.5,0.625,0.575,0.525
0.6,1.7,0.625,0.575,0.525
0.6,2.0,0.625,0.575,0.525
0.6,2.5,0.625,0.575,0.525
0.6,2.8,0.675,0.575,0.525
0.7,1.0,0.7,0.575,0.525
0.7,1.2,0.625,0.575,0.525
0.7,1.5,0.675,0.575,0.525
0.7,1.7,0.625,0.575,0.525
0.7,2.0,0.625,0.575,0.525
0.7,2.5,0.625,0.575,0.525
0.7,2.8,0.65,0.575,0.525
0.8,1.0,0.725,0.575,0.525
0.8,1.2,0.625,0.575,0.525
0.8,1.5,0.625,0.575,0.525
0.8,1.7,0.65,0.575,0.525
0.8,2.0,0.65,0.575,0.525
0.8,2.5,0.675,0.575,0.525
0.8,2.8,0.675,0.575,0.525
0.9,1.0,0.65,0.575,0.525
0.9,1.2,0.675,0.575,0.525
0.9,1.5,0.6,0.575,0.525
0.9,1.7,0.625,0.575,0.525
0.9,2.0,0.625,0.575,0.525
0.9,2.5,0.65,0.575,0.525
0.9,2.8,0.7,0.575,0.525
1.0,1.0,0.575,0.575,0.525
1.0,1.2,0.725,0.575,0.525
1.0,1.5,0.675,0.575,0.525
1.0,1.7,0.625,0.575,0.525
1.0,2.0,0.6,0.575,0.525
1.0,2.5,0.625,0.575,0.525
1.0,2.8,0.675,0.575,0.525
